Locality,Price,Living Area,Fireplace,Terrace area,Number of facades,Swimming pool,d_APARTMENT_BLOCK,d_COUNTRY_COTTAGE,d_DUPLEX,d_EXCEPTIONAL_PROPERTY,d_FLAT_STUDIO,d_GROUND_FLOOR,d_HOUSE,d_KOT,d_MANSION,d_MIXED_USE_BUILDING,d_PENTHOUSE,d_TOWN_HOUSE,d_VILLA,d_other property,d_GOOD,d_JUST_RENOVATED,d_TO_BE_DONE_UP,d_TO_RENOVATE,d_TO_RESTORE,d_single,d_1.0
3111,307500,174.0,0,13.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3384,395000,155.0,0,13.0,4.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4000,339000,150.0,0,13.0,2.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4520,230000,77.0,0,6.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1200,450000,128.0,0,22.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7500,199000,118.0,0,5.0,2.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1000,385000,94.0,0,20.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1190,255000,73.0,0,7.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1190,330000,94.0,0,9.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1190,375000,91.0,0,49.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1190,275000,66.0,0,28.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,375000,92.0,0,43.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,280000,71.0,0,7.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,295000,73.0,0,9.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,315000,72.0,0,15.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,360000,89.0,0,7.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,380000,93.0,0,24.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082,425000,107.0,0,15.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,292500,86.0,0,13.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,297500,86.0,0,13.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
